,Model,Net,Loss Type,Image Set,LR-Attention,LR-Association,c,phi,Permutation,Type,Epoch,Max Epochs,Train Loss,Train Accuracy,Probability Correct
1,alcove,,mse,abstract,0.0033,0.03,6.5,2,0,1,1,16,0.4848,50.0,0.5182
2,alcove,,mse,abstract,0.0033,0.03,6.5,2,0,1,5,16,0.2236,50.0,0.5761
3,alcove,,mse,abstract,0.0033,0.03,6.5,2,0,1,10,16,0.079,50.0,0.6224
4,alcove,,mse,abstract,0.0033,0.03,6.5,2,0,1,15,16,0.024,50.0,0.6512
5,alcove,,mse,abstract,0.0033,0.03,6.5,2,0,2,1,16,0.4915,50.0,0.5115
6,alcove,,mse,abstract,0.0033,0.03,6.5,2,0,2,5,16,0.2642,50.0,0.5502
7,alcove,,mse,abstract,0.0033,0.03,6.5,2,0,2,10,16,0.1309,50.0,0.5849
8,alcove,,mse,abstract,0.0033,0.03,6.5,2,0,2,15,16,0.0668,50.0,0.6116
9,alcove,,mse,abstract,0.0033,0.03,6.5,2,0,3,1,16,0.488,50.0,0.5146
10,alcove,,mse,abstract,0.0033,0.03,6.5,2,0,3,5,16,0.2449,50.0,0.5611
11,alcove,,mse,abstract,0.0033,0.03,6.5,2,0,3,10,16,0.1115,50.0,0.5973
12,alcove,,mse,abstract,0.0033,0.03,6.5,2,0,3,15,16,0.0565,50.0,0.6201
13,alcove,,mse,abstract,0.0033,0.03,6.5,2,0,4,1,16,0.4873,50.0,0.5151
14,alcove,,mse,abstract,0.0033,0.03,6.5,2,0,4,5,16,0.2423,50.0,0.5627
15,alcove,,mse,abstract,0.0033,0.03,6.5,2,0,4,10,16,0.1106,50.0,0.5988
16,alcove,,mse,abstract,0.0033,0.03,6.5,2,0,4,15,16,0.0584,50.0,0.6208
17,alcove,,mse,abstract,0.0033,0.03,6.5,2,0,5,1,16,0.4907,50.0,0.512
18,alcove,,mse,abstract,0.0033,0.03,6.5,2,0,5,5,16,0.2623,50.0,0.5511
19,alcove,,mse,abstract,0.0033,0.03,6.5,2,0,5,10,16,0.134,50.0,0.5835
20,alcove,,mse,abstract,0.0033,0.03,6.5,2,0,5,15,16,0.0772,50.0,0.6059
21,alcove,,mse,abstract,0.0033,0.03,6.5,2,0,6,1,16,0.4958,50.0,0.5073
22,alcove,,mse,abstract,0.0033,0.03,6.5,2,0,6,5,16,0.2951,50.0,0.5325
23,alcove,,mse,abstract,0.0033,0.03,6.5,2,0,6,10,16,0.1799,50.0,0.5559
24,alcove,,mse,abstract,0.0033,0.03,6.5,2,0,6,15,16,0.1218,50.0,0.5754
1,alcove,,mse,abstract,0.0033,0.03,6.5,2,0,1,1,16,0.4848,50.0,0.5182
2,alcove,,mse,abstract,0.0033,0.03,6.5,2,0,1,5,16,0.2236,50.0,0.5761
3,alcove,,mse,abstract,0.0033,0.03,6.5,2,0,1,10,16,0.079,50.0,0.6224
4,alcove,,mse,abstract,0.0033,0.03,6.5,2,0,1,15,16,0.024,50.0,0.6512
5,alcove,,mse,abstract,0.0033,0.03,6.5,2,0,2,1,16,0.4915,50.0,0.5115
6,alcove,,mse,abstract,0.0033,0.03,6.5,2,0,2,5,16,0.2642,50.0,0.5502
7,alcove,,mse,abstract,0.0033,0.03,6.5,2,0,2,10,16,0.1309,50.0,0.5849
8,alcove,,mse,abstract,0.0033,0.03,6.5,2,0,2,15,16,0.0668,50.0,0.6116
9,alcove,,mse,abstract,0.0033,0.03,6.5,2,0,3,1,16,0.488,50.0,0.5146
10,alcove,,mse,abstract,0.0033,0.03,6.5,2,0,3,5,16,0.2449,50.0,0.5611
11,alcove,,mse,abstract,0.0033,0.03,6.5,2,0,3,10,16,0.1115,50.0,0.5973
12,alcove,,mse,abstract,0.0033,0.03,6.5,2,0,3,15,16,0.0565,50.0,0.6201
13,alcove,,mse,abstract,0.0033,0.03,6.5,2,0,4,1,16,0.4873,50.0,0.5151
14,alcove,,mse,abstract,0.0033,0.03,6.5,2,0,4,5,16,0.2423,50.0,0.5627
