,Model,Net,Loss Type,Image Set,LR-Attention,LR-Association,c,phi,Permutation,Type,Epoch,Max Epochs,Train Loss,Train Accuracy,Probability Correct
30,alcove,,ll,abstract,0.0033,0.03,6.5,2,1,2,5,16,0.6716,100.0,0.5284
31,alcove,,ll,abstract,0.0033,0.03,6.5,2,1,2,10,16,0.6441,100.0,0.5566
32,alcove,,ll,abstract,0.0033,0.03,6.5,2,1,2,15,16,0.6171,100.0,0.5849
33,alcove,,ll,abstract,0.0033,0.03,6.5,2,1,3,1,16,0.6933,100.0,0.5074
34,alcove,,ll,abstract,0.0033,0.03,6.5,2,1,3,5,16,0.6645,100.0,0.5364
35,alcove,,ll,abstract,0.0033,0.03,6.5,2,1,3,10,16,0.631,100.0,0.5709
36,alcove,,ll,abstract,0.0033,0.03,6.5,2,1,3,15,16,0.5999,100.0,0.6035
37,alcove,,ll,abstract,0.0033,0.03,6.5,2,1,4,1,16,0.6932,100.0,0.5077
38,alcove,,ll,abstract,0.0033,0.03,6.5,2,1,4,5,16,0.6633,100.0,0.5378
39,alcove,,ll,abstract,0.0033,0.03,6.5,2,1,4,10,16,0.6286,100.0,0.5735
40,alcove,,ll,abstract,0.0033,0.03,6.5,2,1,4,15,16,0.5968,100.0,0.6069
41,alcove,,ll,abstract,0.0033,0.03,6.5,2,1,5,1,16,0.694,100.0,0.506
42,alcove,,ll,abstract,0.0033,0.03,6.5,2,1,5,5,16,0.6704,100.0,0.5298
43,alcove,,ll,abstract,0.0033,0.03,6.5,2,1,5,10,16,0.6423,100.0,0.5587
44,alcove,,ll,abstract,0.0033,0.03,6.5,2,1,5,15,16,0.6155,100.0,0.5866
45,alcove,,ll,abstract,0.0033,0.03,6.5,2,1,6,1,16,0.6952,100.0,0.5036
46,alcove,,ll,abstract,0.0033,0.03,6.5,2,1,6,5,16,0.6808,100.0,0.518
47,alcove,,ll,abstract,0.0033,0.03,6.5,2,1,6,10,16,0.6631,100.0,0.536
48,alcove,,ll,abstract,0.0033,0.03,6.5,2,1,6,15,16,0.6454,100.0,0.5542
49,alcove,,ll,abstract,0.0033,0.03,6.5,2,2,1,1,16,0.6925,100.0,0.5091
50,alcove,,ll,abstract,0.0033,0.03,6.5,2,2,1,5,16,0.6572,100.0,0.5447
51,alcove,,ll,abstract,0.0033,0.03,6.5,2,2,1,10,16,0.6154,100.0,0.5882
52,alcove,,ll,abstract,0.0033,0.03,6.5,2,2,1,15,16,0.5749,100.0,0.6311
53,alcove,,ll,abstract,0.0033,0.03,6.5,2,2,2,1,16,0.6942,100.0,0.5057
54,alcove,,ll,abstract,0.0033,0.03,6.5,2,2,2,5,16,0.6716,100.0,0.5284
55,alcove,,ll,abstract,0.0033,0.03,6.5,2,2,2,10,16,0.6441,100.0,0.5566
56,alcove,,ll,abstract,0.0033,0.03,6.5,2,2,2,15,16,0.6171,100.0,0.5849
57,alcove,,ll,abstract,0.0033,0.03,6.5,2,2,3,1,16,0.6933,100.0,0.5074
58,alcove,,ll,abstract,0.0033,0.03,6.5,2,2,3,5,16,0.6645,100.0,0.5364
59,alcove,,ll,abstract,0.0033,0.03,6.5,2,2,3,10,16,0.631,100.0,0.5709
60,alcove,,ll,abstract,0.0033,0.03,6.5,2,2,3,15,16,0.5999,100.0,0.6035
