,Model,Net,Loss Type,Image Set,LR-Attention,LR-Association,c,phi,Permutation,Type,Epoch,Max Epochs,Train Loss,Train Accuracy,Probability Correct
47,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,1,6,10,16,0.5994,62.5,0.509
48,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,1,6,15,16,0.5642,62.5,0.5326
49,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,2,1,1,16,0.5112,62.5,0.6588
50,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,2,1,5,16,0.0,100.0,0.8992
51,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,2,1,10,16,0.0,100.0,0.9002
52,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,2,1,15,16,0.0,100.0,0.9003
53,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,2,2,1,16,0.8299,62.5,0.5107
54,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,2,2,5,16,0.4942,50.0,0.545
55,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,2,2,10,16,0.3061,75.0,0.6047
56,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,2,2,15,16,0.0713,100.0,0.8109
57,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,2,3,1,16,0.8872,62.5,0.546
58,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,2,3,5,16,0.3808,75.0,0.7267
59,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,2,3,10,16,0.101,100.0,0.8629
60,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,2,3,15,16,0.0002,100.0,0.9266
61,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,2,4,1,16,0.4903,50.0,0.5523
62,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,2,4,5,16,0.0807,100.0,0.8509
63,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,2,4,10,16,0.0,100.0,0.9048
64,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,2,4,15,16,0.0,100.0,0.9048
65,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,2,5,1,16,0.9535,62.5,0.5313
66,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,2,5,5,16,0.3991,87.5,0.6283
67,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,2,5,10,16,0.2621,87.5,0.7073
68,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,2,5,15,16,0.253,87.5,0.7098
69,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,2,6,1,16,0.8036,50.0,0.501
70,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,2,6,5,16,0.5768,50.0,0.5014
71,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,2,6,10,16,0.5656,50.0,0.5057
72,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,2,6,15,16,0.5536,87.5,0.5156
73,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,3,1,1,16,1.161,75.0,0.5143
74,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,3,1,5,16,0.2234,62.5,0.6419
75,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,3,1,10,16,0.0002,100.0,0.8795
76,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,3,1,15,16,0.0,100.0,0.8825
77,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,3,2,1,16,1.0849,50.0,0.5039
78,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,3,2,5,16,0.5611,50.0,0.5147
79,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,3,2,10,16,0.4211,50.0,0.5739
80,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,3,2,15,16,0.1495,100.0,0.7428
81,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,3,3,1,16,0.8762,62.5,0.5273
82,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,3,3,5,16,0.361,87.5,0.718
83,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,3,3,10,16,0.0056,100.0,0.9146
84,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,3,3,15,16,0.0,100.0,0.9259
85,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,3,4,1,16,0.5473,50.0,0.5827
86,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,3,4,5,16,0.2329,87.5,0.7966
87,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,3,4,10,16,0.005,100.0,0.9033
88,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,3,4,15,16,0.0002,100.0,0.9129
89,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,3,5,1,16,0.8484,62.5,0.5471
90,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,3,5,5,16,0.4023,87.5,0.6201
91,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,3,5,10,16,0.2296,87.5,0.7179
92,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,3,5,15,16,0.206,87.5,0.7391
93,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,3,6,1,16,0.7172,50.0,0.5003
94,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,3,6,5,16,0.5774,50.0,0.5012
95,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,3,6,10,16,0.5683,62.5,0.5093
96,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,3,6,15,16,0.5219,62.5,0.534
97,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,4,1,1,16,0.6877,75.0,0.627
98,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,4,1,5,16,0.0,100.0,0.8961
99,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,4,1,10,16,0.0,100.0,0.8966
100,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,4,1,15,16,0.0,100.0,0.8966
101,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,4,2,1,16,1.1528,50.0,0.5176
102,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,4,2,5,16,0.4813,50.0,0.5539
103,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,4,2,10,16,0.4337,50.0,0.5777
104,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,4,2,15,16,0.4182,50.0,0.5907
105,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,4,3,1,16,0.9061,50.0,0.5071
106,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,4,3,5,16,0.4185,75.0,0.6348
107,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,4,3,10,16,0.253,87.5,0.753
108,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,4,3,15,16,0.2502,87.5,0.7604
109,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,4,4,1,16,0.5079,62.5,0.5723
110,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,4,4,5,16,0.0301,100.0,0.9027
111,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,4,4,10,16,0.0,100.0,0.9048
112,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,4,4,15,16,0.0,100.0,0.9048
113,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,4,5,1,16,0.7169,62.5,0.538
114,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,4,5,5,16,0.3633,87.5,0.6234
115,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,4,5,10,16,0.2494,87.5,0.7091
116,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,4,5,15,16,0.2403,87.5,0.7127
117,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,4,6,1,16,0.9814,50.0,0.5004
118,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,4,6,5,16,0.5811,50.0,0.5002
119,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,4,6,10,16,0.5678,50.0,0.5017
120,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,4,6,15,16,0.5669,25.0,0.5078
121,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,5,1,1,16,0.6114,50.0,0.537
122,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,5,1,5,16,0.0088,100.0,0.8896
123,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,5,1,10,16,0.0,100.0,0.9138
124,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,5,1,15,16,0.0,100.0,0.9138
125,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,5,2,1,16,0.9362,50.0,0.5104
126,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,5,2,5,16,0.4899,50.0,0.5548
127,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,5,2,10,16,0.3832,50.0,0.5931
128,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,5,2,15,16,0.2046,100.0,0.7196
129,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,5,3,1,16,0.7745,50.0,0.5659
130,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,5,3,5,16,0.3555,100.0,0.7615
131,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,5,3,10,16,0.0014,100.0,0.9079
132,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,5,3,15,16,0.0,100.0,0.9115
133,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,5,4,1,16,0.8009,62.5,0.5984
134,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,5,4,5,16,0.0635,100.0,0.8611
135,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,5,4,10,16,0.0,100.0,0.9176
136,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,5,4,15,16,0.0,100.0,0.9176
137,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,5,5,1,16,0.689,50.0,0.5226
138,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,5,5,5,16,0.4068,87.5,0.6207
139,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,5,5,10,16,0.2179,87.5,0.7323
140,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,5,5,15,16,0.1764,87.5,0.757
141,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,5,6,1,16,1.0759,50.0,0.5007
142,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,5,6,5,16,0.5921,50.0,0.5022
143,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,5,6,10,16,0.5867,62.5,0.5069
144,mlp,resnet152,humble,shj_images_set1,0.0033,0.03,6.5,2,5,6,15,16,0.5752,87.5,0.5151
1,mlp,resnet152,humble,shj_images_set1,0.0035,0.04,6.0,2.5,0,1,1,16,0.5592,50.0,0.5654
2,mlp,resnet152,humble,shj_images_set1,0.0035,0.04,6.0,2.5,0,1,5,16,0.0,100.0,0.9378
3,mlp,resnet152,humble,shj_images_set1,0.0035,0.04,6.0,2.5,0,1,10,16,0.0,100.0,0.9378
4,mlp,resnet152,humble,shj_images_set1,0.0035,0.04,6.0,2.5,0,1,15,16,0.0,100.0,0.9378
5,mlp,resnet152,humble,shj_images_set1,0.0035,0.04,6.0,2.5,0,2,1,16,0.7937,50.0,0.5014
6,mlp,resnet152,humble,shj_images_set1,0.0035,0.04,6.0,2.5,0,2,5,16,0.6038,50.0,0.5015
