,Model,Net,Loss Type,Image Set,LR-Attention,LR-Association,c,phi,Permutation,Type,Epoch,Max Epochs,Train Loss,Train Accuracy,Probability Correct
47,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,1,6,10,16,0.3971,50.0,0.5093
48,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,1,6,15,16,0.3047,50.0,0.5362
49,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,2,1,1,16,0.3321,50.0,0.5
50,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,2,1,5,16,0.0824,50.0,0.636
51,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,2,1,10,16,0.0009,50.0,0.6857
52,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,2,1,15,16,0.0,50.0,0.6899
53,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,2,2,1,16,0.5585,50.0,0.5002
54,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,2,2,5,16,0.3278,50.0,0.5005
55,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,2,2,10,16,0.3309,50.0,0.5
56,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,2,2,15,16,0.3308,50.0,0.5
57,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,2,3,1,16,1.0229,50.0,0.5013
58,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,2,3,5,16,0.3216,50.0,0.5467
59,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,2,3,10,16,0.2282,50.0,0.5987
60,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,2,3,15,16,0.229,62.5,0.5998
61,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,2,4,1,16,0.6792,50.0,0.5456
62,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,2,4,5,16,0.265,50.0,0.5473
63,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,2,4,10,16,0.3171,50.0,0.5292
64,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,2,4,15,16,0.3102,50.0,0.5281
65,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,2,5,1,16,0.4154,50.0,0.4996
66,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,2,5,5,16,0.2412,50.0,0.5367
67,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,2,5,10,16,0.2403,50.0,0.5394
68,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,2,5,15,16,0.2411,50.0,0.5405
69,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,2,6,1,16,0.4978,50.0,0.5
70,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,2,6,5,16,0.4279,50.0,0.5001
71,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,2,6,10,16,0.4227,50.0,0.503
72,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,2,6,15,16,0.3535,50.0,0.5248
73,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,3,1,1,16,0.2991,50.0,0.5019
74,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,3,1,5,16,0.0239,50.0,0.6754
75,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,3,1,10,16,0.0,87.5,0.6911
76,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,3,1,15,16,0.0,87.5,0.6911
77,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,3,2,1,16,0.4159,50.0,0.4993
78,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,3,2,5,16,0.2906,50.0,0.5007
79,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,3,2,10,16,0.2975,50.0,0.5246
80,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,3,2,15,16,0.3645,50.0,0.5342
81,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,3,3,1,16,0.6385,50.0,0.5033
82,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,3,3,5,16,0.2383,50.0,0.5886
83,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,3,3,10,16,0.2293,50.0,0.5947
84,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,3,3,15,16,0.2301,50.0,0.5897
85,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,3,4,1,16,0.9007,50.0,0.5039
86,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,3,4,5,16,0.3473,50.0,0.5099
87,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,3,4,10,16,0.2849,50.0,0.5686
88,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,3,4,15,16,0.2865,62.5,0.5683
89,mlp,vgg11,mse,shj_images_set1,0.0033,0.03,6.5,2,3,5,1,16,0.707,50.0,0.4957
