,Model,Net,Loss Type,Image Set,LR-Attention,LR-Association,c,phi,Permutation,Type,Epoch,Max Epochs,Train Loss,Train Accuracy,Probability Correct
46,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,1,1,15,32,0.5679,75.0,0.6711
47,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,1,1,20,32,0.5676,75.0,0.6711
48,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,1,1,25,32,0.5676,75.0,0.6711
49,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,1,1,30,32,0.5675,75.0,0.6712
50,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,1,2,1,32,1.2269,50.0,0.4987
51,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,1,2,5,32,1.1221,50.0,0.5003
52,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,1,2,10,32,0.9886,75.0,0.5575
53,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,1,2,15,32,0.8878,62.5,0.6082
54,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,1,2,20,32,0.5567,87.5,0.723
55,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,1,2,25,32,0.5663,75.0,0.7096
56,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,1,2,30,32,0.567,75.0,0.7095
57,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,1,3,1,32,1.1605,50.0,0.5045
58,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,1,3,5,32,1.0034,50.0,0.5744
59,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,1,3,10,32,0.8037,87.5,0.6446
60,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,1,3,15,32,0.4789,75.0,0.7487
61,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,1,3,20,32,0.4325,75.0,0.7531
62,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,1,3,25,32,0.9551,62.5,0.5902
63,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,1,3,30,32,0.8496,62.5,0.6057
64,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,1,4,1,32,1.0909,75.0,0.6018
65,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,1,4,5,32,0.5729,75.0,0.7029
66,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,1,4,10,32,0.5726,75.0,0.7007
67,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,1,4,15,32,0.5675,75.0,0.7007
68,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,1,4,20,32,0.5675,75.0,0.7007
69,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,1,4,25,32,0.5675,75.0,0.7007
70,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,1,4,30,32,0.5675,75.0,0.7007
71,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,1,5,1,32,1.2807,50.0,0.5003
72,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,1,5,5,32,1.1054,50.0,0.5199
73,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,1,5,10,32,1.1244,50.0,0.5064
74,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,1,5,15,32,1.0453,62.5,0.5499
75,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,1,5,20,32,0.9433,62.5,0.5976
76,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,1,5,25,32,0.8512,62.5,0.6013
77,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,1,5,30,32,0.8512,62.5,0.6013
78,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,1,6,1,32,1.3088,50.0,0.5001
79,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,1,6,5,32,1.1311,50.0,0.501
80,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,1,6,10,32,1.0748,50.0,0.5159
81,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,1,6,15,32,0.9994,62.5,0.5454
82,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,1,6,20,32,0.9359,62.5,0.5743
83,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,1,6,25,32,0.8515,62.5,0.5886
84,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,1,6,30,32,0.8513,62.5,0.5886
85,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,2,1,1,32,1.1617,50.0,0.5235
86,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,2,1,5,32,0.0789,100.0,0.89
87,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,2,1,10,32,0.0,100.0,0.89
88,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,2,1,15,32,0.0,100.0,0.89
89,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,2,1,20,32,0.0,100.0,0.89
90,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,2,1,25,32,0.0,100.0,0.89
91,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,2,1,30,32,0.0,100.0,0.89
92,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,2,2,1,32,1.3791,50.0,0.5
93,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,2,2,5,32,1.1204,50.0,0.4999
94,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,2,2,10,32,1.135,50.0,0.5
95,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,2,2,15,32,1.135,50.0,0.5
96,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,2,2,20,32,1.135,50.0,0.5
97,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,2,2,25,32,1.135,50.0,0.5
98,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,2,2,30,32,1.135,50.0,0.5
99,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,2,3,1,32,1.226,50.0,0.5028
100,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,2,3,5,32,0.8741,75.0,0.6125
101,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,2,3,10,32,0.4265,75.0,0.6727
102,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,2,3,15,32,0.3474,87.5,0.8035
103,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,2,3,20,32,0.5675,75.0,0.7263
104,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,2,3,25,32,0.5675,75.0,0.7264
105,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,2,3,30,32,0.5675,75.0,0.7264
106,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,2,4,1,32,1.2164,50.0,0.5041
107,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,2,4,5,32,0.8015,75.0,0.6446
108,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,2,4,10,32,0.5662,75.0,0.6985
109,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,2,4,15,32,0.5446,75.0,0.7092
110,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,2,4,20,32,0.5648,75.0,0.7123
111,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,2,4,25,32,0.5674,75.0,0.7113
112,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,2,4,30,32,0.5672,75.0,0.7115
113,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,2,5,1,32,1.1819,50.0,0.4994
114,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,2,5,5,32,1.0364,50.0,0.5025
115,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,2,5,10,32,0.9106,75.0,0.6169
116,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,2,5,15,32,0.6164,75.0,0.6881
117,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,2,5,20,32,0.5956,75.0,0.6996
118,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,2,5,25,32,0.5696,75.0,0.6939
119,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,2,5,30,32,0.5673,75.0,0.7011
120,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,2,6,1,32,1.3329,50.0,0.5001
121,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,2,6,5,32,1.1346,50.0,0.5002
122,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,2,6,10,32,1.1364,50.0,0.5
123,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,2,6,15,32,1.1452,50.0,0.4999
124,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,2,6,20,32,1.1334,50.0,0.5001
125,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,2,6,25,32,1.1264,50.0,0.5032
126,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,2,6,30,32,1.0642,50.0,0.528
127,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,3,1,1,32,0.9383,100.0,0.6688
128,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,3,1,5,32,0.0,100.0,0.9277
129,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,3,1,10,32,0.0,100.0,0.9277
130,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,3,1,15,32,0.0,100.0,0.9277
131,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,3,1,20,32,0.0,100.0,0.9277
132,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,3,1,25,32,0.0,100.0,0.9277
133,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,3,1,30,32,0.0,100.0,0.9277
134,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,3,2,1,32,1.2821,50.0,0.5008
135,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,3,2,5,32,1.1335,50.0,0.4997
136,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,3,2,10,32,1.1329,50.0,0.4988
137,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,3,2,15,32,1.0712,50.0,0.5235
138,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,3,2,20,32,1.0377,50.0,0.5205
139,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,3,2,25,32,0.786,75.0,0.6416
140,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,3,2,30,32,0.9049,50.0,0.5822
141,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,3,3,1,32,1.1123,50.0,0.5012
142,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,3,3,5,32,1.1439,50.0,0.5003
143,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,3,3,10,32,0.7318,75.0,0.651
144,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,3,3,15,32,0.5675,75.0,0.7124
145,mlp,vgg11,hinge,shj_images_set1,0.0033,0.03,6.5,2,3,3,20,32,0.5675,75.0,0.7124
