,Type I,Type II,Type III,Type IV,Type V,Type VI
1,1.0,1.0,1.0,1.0,1.0,1.0
5,0.8533,0.9077,0.8816,0.8767,0.9031,0.9418
10,0.649,0.7835,0.7334,0.7224,0.7786,0.8653
15,0.3691,0.6376,0.5848,0.568,0.6474,0.7801
20,0.0,0.4465,0.4355,0.4134,0.5092,0.6838
25,0.0,0.0587,0.2854,0.307,0.365,0.5757
30,0.0,0.0,0.1736,0.2298,0.2543,0.4572
35,0.0,0.0,0.1047,0.1492,0.1732,0.3303
40,0.0,0.0,0.0354,0.0646,0.1085,0.1969
45,0.0,0.0,0.0,0.0,0.0675,0.0589
50,0.0,0.0,0.0,0.0,0.0278,0.0
