,Type I,Type II,Type III,Type IV,Type V,Type VI
1,1.1071,0.9802,1.0045,1.0267,1.0403,0.9843
5,0.0,0.0,0.3666,0.4138,0.5204,0.2187
10,0.0,0.0,0.3579,0.3182,0.3844,0.8463
15,0.0,0.0,0.258,0.235,0.3077,0.8222
20,0.0,0.0,0.2818,0.2501,0.3204,0.7909
25,0.0,0.0,0.25,0.25,0.2571,0.7717
30,0.0,0.0,0.25,0.25,0.25,0.721
35,0.0,0.0,0.25,0.25,0.25,0.7042
40,0.0,0.0,0.25,0.25,0.25,0.6518
45,0.0,0.0,0.25,0.25,0.25,0.6367
50,0.0,0.0,0.25,0.25,0.25,0.6209
