,Type I,Type II,Type III,Type IV,Type V,Type VI
1,1.0,1.0,1.0,1.0,1.0,1.0
5,0.7017,0.898,0.7979,0.8141,0.8997,0.9277
10,0.0,0.617,0.4453,0.5925,0.5931,0.7797
15,0.0,0.2352,0.5181,0.5395,0.3516,0.6299
20,0.0,0.0075,0.368,0.3895,0.3149,0.4799
25,0.0,0.0,0.2179,0.2395,0.3119,0.3299
30,0.0,0.0,0.0769,0.0957,0.1155,0.1799
35,0.0,0.0,0.0319,0.0397,0.0398,0.0299
40,0.0,0.0,0.0004,0.009,0.005,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0
