,Type I,Type II,Type III,Type IV,Type V,Type VI
1,1.0,1.0,1.0,1.0,1.0,1.0
5,0.8822,0.9126,0.9084,0.909,0.913,0.9384
10,0.7322,0.5937,0.7576,0.7582,0.7616,0.789
15,0.5822,0.1928,0.5892,0.5906,0.5526,0.639
20,0.4321,0.0039,0.3501,0.3503,0.2982,0.489
25,0.2821,0.0,0.2425,0.2378,0.237,0.339
30,0.1318,0.0,0.1251,0.1253,0.1245,0.189
35,0.0,0.0,0.0136,0.0141,0.0138,0.039
40,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0
