,Type I,Type II,Type III,Type IV,Type V,Type VI
1,1.0,1.0,1.0,1.0,1.0,1.0
5,0.5894,0.8169,0.8292,0.8464,0.8703,0.923
10,0.0,0.4231,0.4575,0.4856,0.6272,0.778
15,0.0,0.0333,0.4834,0.3823,0.3825,0.6286
20,0.0,0.0,0.4558,0.3836,0.3176,0.4788
25,0.0,0.0,0.2283,0.1734,0.2181,0.3289
30,0.0,0.0,0.1415,0.1828,0.1346,0.179
35,0.0,0.0,0.1054,0.0842,0.0522,0.029
40,0.0,0.0,0.0271,0.0292,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0
