,Type I,Type II,Type III,Type IV,Type V,Type VI
1,0.9122,0.9958,1.0101,1.0471,0.9476,0.969
5,0.1445,0.4863,0.3779,0.4301,0.5412,0.8493
10,0.0,0.4462,0.4188,0.5094,0.3971,0.7873
15,0.0,0.3371,0.3369,0.3166,0.38,0.7438
20,0.0,0.262,0.3233,0.2251,0.3505,0.6783
25,0.0,0.2444,0.2194,0.0864,0.443,0.5805
30,0.0,0.0,0.314,0.2561,0.3621,0.5993
35,0.0,0.0,0.2109,0.6765,0.4417,0.5686
40,0.0,0.0,0.1005,0.2636,0.3336,0.5136
45,0.0,0.0,0.3915,0.1748,0.3824,0.6482
50,0.0,0.0,0.2418,0.1074,0.3439,0.4781
